127.0.0.1, 2015-07-05 15:09:25, GET, /, HTTP/1.1, 400, 0.000367
127.0.0.1, 2015-07-05 15:09:48, GET, /, HTTP/1.1, 200, 0.289691
127.0.0.1, 2015-07-05 15:09:57, GET, /profile, HTTP/1.1, 404, 0.017288
127.0.0.1, 2015-07-05 15:10:04, GET, /parse_acquisuite, HTTP/1.1, 404, 0.023275
127.0.0.1, 2015-07-05 15:10:49, GET, /parse_acquisuite, HTTP/1.1, 200, 0.019698
127.0.0.1, 2015-07-05 15:13:02, GET, /parse_acquisuite, HTTP/1.1, 200, 0.367218
127.0.0.1, 2015-07-05 15:13:05, GET, /appadmin, HTTP/1.1, 200, 0.063623
127.0.0.1, 2015-07-05 15:13:06, GET, /appadmin/hooks, HTTP/1.1, 200, 0.092695
127.0.0.1, 2015-07-05 15:13:56, GET, /parse_acquisuite, HTTP/1.1, 200, 0.017333
127.0.0.1, 2015-07-05 15:14:36, GET, /parse_acquisuite, HTTP/1.1, 200, 0.020533
127.0.0.1, 2015-07-05 15:15:03, GET, /parse_acquisuite, HTTP/1.1, 200, 0.019659
127.0.0.1, 2015-07-05 15:15:12, GET, /parse_acquisuite, HTTP/1.1, 200, 0.015910
127.0.0.1, 2015-07-05 15:33:07, GET, /parse_acquisuite, HTTP/1.1, 500, 3.007038
127.0.0.1, 2015-07-05 15:33:35, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-33-04.ffa35a0a-ab8d-41b9-8448-b5913a3d0b0a, HTTP/1.1, 200, 0.898553
127.0.0.1, 2015-07-05 15:36:46, GET, /parse_acquisuite, HTTP/1.1, 500, 0.023996
127.0.0.1, 2015-07-05 15:36:47, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-36-46.42bf1edb-cf2d-474f-b079-cbbc71046a4a, HTTP/1.1, 200, 0.083079
127.0.0.1, 2015-07-05 15:37:01, GET, /parse_acquisuite, HTTP/1.1, 500, 0.029032
127.0.0.1, 2015-07-05 15:37:02, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-37-01.51a4413c-2824-4899-abb7-c99766f8d95f, HTTP/1.1, 200, 0.093195
127.0.0.1, 2015-07-05 15:38:09, GET, /appadmin/select/db, HTTP/1.1, 200, 0.138098
127.0.0.1, 2015-07-05 15:38:17, GET, /appadmin/insert/db/page_vist_count, HTTP/1.1, 200, 0.050021
127.0.0.1, 2015-07-05 15:38:41, POST, /appadmin/insert/db/page_vist_count, HTTP/1.1, 200, 0.400021
127.0.0.1, 2015-07-05 15:38:52, GET, /appadmin, HTTP/1.1, 200, 0.059193
127.0.0.1, 2015-07-05 15:38:52, GET, /appadmin/hooks, HTTP/1.1, 200, 0.076700
127.0.0.1, 2015-07-05 15:38:54, GET, /appadmin/select/db, HTTP/1.1, 200, 0.050412
127.0.0.1, 2015-07-05 15:39:01, GET, /parse_acquisuite, HTTP/1.1, 500, 0.017391
127.0.0.1, 2015-07-05 15:39:02, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-39-01.ae454006-0030-4521-a056-04488ab4b94a, HTTP/1.1, 200, 0.077843
127.0.0.1, 2015-07-05 15:40:53, GET, /parse_acquisuite, HTTP/1.1, 200, 0.016503
127.0.0.1, 2015-07-05 15:41:27, GET, /parse_acquisuite, HTTP/1.1, 500, 0.082084
127.0.0.1, 2015-07-05 15:41:28, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-41-27.f9b55f58-d334-4f08-8d33-623e403d378e, HTTP/1.1, 200, 0.100128
127.0.0.1, 2015-07-05 15:41:46, GET, /parse_acquisuite, HTTP/1.1, 500, 0.461771
127.0.0.1, 2015-07-05 15:41:48, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.15-41-46.0a4f3489-d7f4-48b7-8b3e-f4816a0c53be, HTTP/1.1, 200, 0.194511
127.0.0.1, 2015-07-05 15:42:29, GET, /parse_acquisuite, HTTP/1.1, 200, 0.393050
127.0.0.1, 2015-07-05 15:43:00, GET, /parse_acquisuite, HTTP/1.1, 500, 0.050394
